id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
28186,❤️Deluxe central loft near Acropolis❤️,121318,Francis - Fotios,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.976334,23.729834,Entire home/apt,85,2,483,2022-09-13,3.84,2,332,19,00001466012
45397089,"SOFOKLEOUS 57, STUDIO KATERINA IN KALLITHEA.",228538363,Marina,,ΝΕΟΣ ΚΟΣΜΟΣ,37.9572,23.71085,Entire home/apt,60,2,2,2021-03-29,0.11,8,132,0,00001420224
35482672,Stylish Studio near Athens HILTON,82272335,Maria-Aggeliki (Mariliana),,ΓΟΥΔΙ,37.97969,23.75793,Entire home/apt,39,1,58,2022-09-10,1.49,1,210,32,00000757070
40723974,Family Apartment in Nea Smirni,65714690,Home,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95158,23.71575,Entire home/apt,85,2,15,2022-05-17,0.45,24,351,6,00001456449
31155,sleep on sailing boat,133845,Irene,,ΚΕΡΑΜΕΙΚΟΣ,37.97962,23.71589,Private room,39,1,0,,,1,0,0,
640987077996622308,2 bedroom close to dafni metro,97455893,Lifang,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95258,23.73598,Entire home/apt,42,2,6,2022-08-29,1.73,3,353,6,00000522300
49489,3bdr apt in the heart of Athens,225612,Stathis,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9767,23.73064,Entire home/apt,150,2,128,2022-06-18,0.95,1,343,7,00000876484
12330240,Stylish apartment with Acropolis and sea view.,59894724,Petra,,ΓΟΥΒΑ,37.95726,23.74905,Entire home/apt,70,7,26,2022-09-01,0.41,1,250,5,00000406634
41367487,Διακοπές στην Αθήνα με λίγα λεπτά από την Ακρόπολη,207927365,Filio,,ΠΕΤΡΑΛΩΝΑ,37.96038,23.71088,Entire home/apt,56,3,3,2021-10-22,0.21,1,342,1,01111912040
23798453,Sweet stone apartment in Imittos,65714690,Home,,ΓΟΥΒΑ,37.95017,23.7466,Entire home/apt,47,2,11,2022-06-30,0.21,24,335,6,00001534711
54637,Penthouse Parthenon view in Athens,256676,Angeliki,,ΠΑΓΚΡΑΤΙ,37.96919,23.74354,Entire home/apt,70,10,3,2018-02-01,0.03,1,363,0,
7701173,70m2 apt in the center of Athens,40454491,Sakis,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95585,23.7085,Entire home/apt,100,1,1,2015-08-31,0.01,1,365,0,
